name,total_ops,threads,spent,throughput,latency
CrossbeamSkipMap,8388608,1,12929182958,648811.9185295854,1541
CrossbeamSkipMap,8388608,2,6804786208,1232751.1465588722,1622
CrossbeamSkipMap,8388608,3,4752056458,1765258.4884335564,1699
CrossbeamSkipMap,8388608,4,3635500875,2307414.6557590915,1733
CrossbeamSkipMap,8388608,5,3112369666,2695247.96223226,1855
CrossbeamSkipMap,8388608,6,2789637041,3007060.7310953042,1995
CrossbeamSkipMap,8388608,7,2527865125,3318455.5287537347,2109
CrossbeamSkipMap,8388608,8,2297710083,3650855.720251457,2191
CrossbeamSkipMap,8388608,9,2578602958,3253160.000447033,2766
CrossbeamSkipMap,8388608,10,2728508458,3074429.9052489875,3252
CrossbeamSkipMap,8388608,11,2339890166,3585043.487036904,3068
RwLock<BTreeMap>,8388608,1,3915263916,2142539.6039636987,466
RwLock<BTreeMap>,8388608,2,5057347041,1658697.3233186116,1205
RwLock<BTreeMap>,8388608,3,7061837166,1187878.989958574,2525
RwLock<BTreeMap>,8388608,4,7899950375,1061855.7841257327,3766
RwLock<BTreeMap>,8388608,5,9033394000,928621.9553802259,5384
RwLock<BTreeMap>,8388608,6,9551048291,878291.8633030708,6831
RwLock<BTreeMap>,8388608,7,10626394916,789412.4080942448,8867
RwLock<BTreeMap>,8388608,8,11243151958,746108.2115884002,10722
RwLock<BTreeMap>,8388608,9,11908061250,704447.8378039919,12775
RwLock<BTreeMap>,8388608,10,12397107541,676658.4844292914,14778
RwLock<BTreeMap>,8388608,11,12958052875,647366.3968592195,16991
RwLock<StdHashMap>,8388608,1,1103232875,7603660.287951444,131
RwLock<StdHashMap>,8388608,2,1328265958,6315458.097436236,316
RwLock<StdHashMap>,8388608,3,1562164583,5369861.85148969,558
RwLock<StdHashMap>,8388608,4,1777644791,4718945.000975732,847
RwLock<StdHashMap>,8388608,5,2047392416,4097215.5286131524,1220
RwLock<StdHashMap>,8388608,6,2175149791,3856565.664906891,1555
RwLock<StdHashMap>,8388608,7,2295947000,3653659.2525872765,1915
RwLock<StdHashMap>,8388608,8,2407423833,3484474.9333342663,2295
RwLock<StdHashMap>,8388608,9,2484437750,3376461.3341590064,2665
RwLock<StdHashMap>,8388608,10,2581375375,3249666.0815941966,3077
RwLock<StdHashMap>,8388608,11,2545109500,3295971.352116677,3337
DashMap,8388608,1,1343352000,6244534.567261597,160
DashMap,8388608,2,1041686041,8052913.900955307,248
DashMap,8388608,3,748340833,11209608.817376934,267
DashMap,8388608,4,561886208,14929371.60685745,267
DashMap,8388608,5,483442833,17351809.619235788,288
DashMap,8388608,6,472389458,17757822.19085846,337
DashMap,8388608,7,463309583,18105837.452535488,386
DashMap,8388608,8,465692333,18013197.56750215,444
DashMap,8388608,9,507071791,16543235.393664405,544
DashMap,8388608,10,561083416,14950732.388069727,668
DashMap,8388608,11,555985708,15087812.293189378,729
Flurry,8388608,1,2168864291,3867742.2256476255,258
Flurry,8388608,2,3654564833,2295378.077371216,871
Flurry,8388608,3,3288181166,2551139.2397531904,1175
Flurry,8388608,4,3254016333,2577924.368396217,1551
Flurry,8388608,5,1313099666,6388401.594491,782
Flurry,8388608,6,1879703125,4462730.251618856,1344
Flurry,8388608,7,2123358166,3950632.603731913,1771
Flurry,8388608,8,1717454208,4884327.023640796,1637
Flurry,8388608,9,1593422791,5264521.159971283,1709
Flurry,8388608,10,1732375125,4842258.399432975,2065
Flurry,8388608,11,1285996541,6523040.873404651,1686
Evmap,8388608,1,3575138833,2346372.656236368,426
Evmap,8388608,2,3781382666,2218397.010021096,901
Evmap,8388608,3,5564994291,1507388.4286937178,1990
Evmap,8388608,4,6362582166,1318428.2389037835,3033
Evmap,8388608,5,7515187500,1116220.7197092555,4479
Evmap,8388608,6,7342302708,1142503.698582186,5251
Evmap,8388608,7,8293234250,1011500.187637893,6920
Evmap,8388608,8,8532043083,983188.6593158686,8136
Evmap,8388608,9,8990074291,933096.627287927,9645
Evmap,8388608,10,9037019500,928249.4078938306,10772
Evmap,8388608,11,8980383750,934103.5120019232,11775
CHashMap,8388608,1,740209375,11332750.277581936,88
CHashMap,8388608,2,545872375,15367342.961804947,130
CHashMap,8388608,3,663932791,12634724.649411088,237
CHashMap,8388608,4,793413291,10572810.028714279,378
CHashMap,8388608,5,1349455750,6216289.7894206615,804
CHashMap,8388608,6,1595771916,5256771.294125219,1141
CHashMap,8388608,7,1712054916,4899730.681302515,1428
CHashMap,8388608,8,1802404000,4654121.939365425,1718
CHashMap,8388608,9,1805088166,4647201.26030675,1936
CHashMap,8388608,10,1798284875,4664782.602923243,2143
CHashMap,8388608,11,1797279291,4667392.564976703,2356
