name,total_ops,threads,spent,throughput,latency
CrossbeamSkipMap,16777216,1,21812770833,769146.484343849,1300
CrossbeamSkipMap,16777216,2,11487469000,1460479.7627745501,1369
CrossbeamSkipMap,16777216,3,8009595416,2094639.6326693064,1432
CrossbeamSkipMap,16777216,4,6124292666,2739453.6667297804,1460
CrossbeamSkipMap,16777216,5,5382665750,3116897.2362811123,1604
CrossbeamSkipMap,16777216,6,4859430583,3452506.567064177,1737
CrossbeamSkipMap,16777216,7,4436022166,3782040.614807875,1850
CrossbeamSkipMap,16777216,8,4114094916,4077984.6703954847,1961
CrossbeamSkipMap,16777216,9,4090430666,4101576.916937773,2194
CrossbeamSkipMap,16777216,10,4046639916,4145962.168184178,2411
CrossbeamSkipMap,16777216,11,4043152458,4149538.305636656,2650
RwLock<BTreeMap>,16777216,1,5944147833,2822476.235678104,354
RwLock<BTreeMap>,16777216,2,7750495666,2164663.619334511,923
RwLock<BTreeMap>,16777216,3,10492630250,1598952.3694499766,1876
RwLock<BTreeMap>,16777216,4,11789939125,1423011.2490084635,2810
RwLock<BTreeMap>,16777216,5,13307737583,1260711.363998648,3966
RwLock<BTreeMap>,16777216,6,14228468416,1179130.1431385207,5088
RwLock<BTreeMap>,16777216,7,15313986916,1095548.5395165922,6389
RwLock<BTreeMap>,16777216,8,16142436958,1039323.6190825208,7697
RwLock<BTreeMap>,16777216,9,16774981291,1000133.2167804681,8998
RwLock<BTreeMap>,16777216,10,17401362666,964132.3109011743,10372
RwLock<BTreeMap>,16777216,11,18044721083,929757.5685891804,11831
RwLock<StdHashMap>,16777216,1,1956547458,8574908.792220056,116
RwLock<StdHashMap>,16777216,2,2499951666,6711016.148101801,298
RwLock<StdHashMap>,16777216,3,2823735708,5941496.5616180105,504
RwLock<StdHashMap>,16777216,4,3210790250,5225260.665968448,765
RwLock<StdHashMap>,16777216,5,3628616958,4623584.190392796,1081
RwLock<StdHashMap>,16777216,6,3871210916,4333841.881530797,1384
RwLock<StdHashMap>,16777216,7,4145433083,4047156.392127437,1729
RwLock<StdHashMap>,16777216,8,4395432833,3816965.618047928,2095
RwLock<StdHashMap>,16777216,9,4381739791,3828893.7272039847,2350
RwLock<StdHashMap>,16777216,10,4552627833,3685171.864563435,2713
RwLock<StdHashMap>,16777216,11,4674624583,3588997.5124447336,3064
DashMap,16777216,1,2530883500,6628995.763732309,150
DashMap,16777216,2,1944113208,8629752.594119508,231
DashMap,16777216,3,1386249833,12102591.89982532,247
DashMap,16777216,4,1072436250,15644021.730895426,255
DashMap,16777216,5,899957458,18642232.308718752,268
DashMap,16777216,6,912921666,18377497.90024153,326
DashMap,16777216,7,892914750,18789269.636323065,372
DashMap,16777216,8,901838000,18603358.918120548,430
DashMap,16777216,9,952394166,17615832.392656635,510
DashMap,16777216,10,986008375,17015287.522278905,587
DashMap,16777216,11,986606958,17004964.199735556,646
Flurry,16777216,1,3247184416,5166696.390058063,193
Flurry,16777216,2,2778629291,6037946.8590292055,331
Flurry,16777216,3,3610155875,4647227.593739287,645
Flurry,16777216,4,3197601666,5246812.377661551,762
Flurry,16777216,5,3147011041,5331158.925539976,937
Flurry,16777216,6,3351945458,5005217.4804808535,1198
Flurry,16777216,7,3221558208,5207795.394892334,1344
Flurry,16777216,8,3118548416,5379815.786704785,1487
Flurry,16777216,9,3264298291,5139608.731915364,1751
Flurry,16777216,10,3281747041,5112281.900584184,1956
Flurry,16777216,11,3238336500,5180813.0501570795,2123
Evmap,16777216,1,9180444833,1827494.8877959235,547
Evmap,16777216,2,8389072958,1999889.1515183316,1000
Evmap,16777216,3,11422679875,1468763.5636816793,2042
Evmap,16777216,4,13357412000,1256022.9481579217,3184
Evmap,16777216,5,13886088458,1208203.1632410043,4138
Evmap,16777216,6,14718209041,1139895.2109773883,5263
Evmap,16777216,7,15790062666,1062517.3791188044,6588
Evmap,16777216,8,17793314666,942894.3575116112,8484
Evmap,16777216,9,17450209041,961433.5255572712,9361
Evmap,16777216,10,18555966666,904141.3094765256,11060
Evmap,16777216,11,18777490208,893474.8901028425,12311
CHashMap,16777216,1,1596784083,10506878.28029909,95
CHashMap,16777216,2,1242932083,13498095.535120241,148
CHashMap,16777216,3,1381410416,12144990.225699876,247
CHashMap,16777216,4,1634870500,10262106.998688888,389
CHashMap,16777216,5,2594533416,6466371.138848342,773
CHashMap,16777216,6,3142365791,5339039.792264592,1123
CHashMap,16777216,7,3431457083,4889239.641992631,1431
CHashMap,16777216,8,3583695291,4681540.878247621,1708
CHashMap,16777216,9,3592754375,4669736.433067457,1927
CHashMap,16777216,10,3599177666,4661402.563837758,2145
CHashMap,16777216,11,3600003375,4660333.408715207,2360
