name,total_ops,threads,spent,throughput,latency
CrossbeamSkipMap,16777216,1,23093807500,726481.1573405555,1376
CrossbeamSkipMap,16777216,2,12264695083,1367927.688903964,1462
CrossbeamSkipMap,16777216,3,8535221083,1965645.1586726874,1526
CrossbeamSkipMap,16777216,4,6424329250,2611512.478131472,1531
CrossbeamSkipMap,16777216,5,5290868500,3170975.8048229697,1576
CrossbeamSkipMap,16777216,6,4670001791,3592550.2282103943,1670
CrossbeamSkipMap,16777216,7,4167513541,4025713.614351997,1738
CrossbeamSkipMap,16777216,8,3818151541,4394067.605710048,1820
CrossbeamSkipMap,16777216,9,3783232708,4434624.379442218,2029
CrossbeamSkipMap,16777216,10,3758211250,4464149.267819897,2240
CrossbeamSkipMap,16777216,11,3745372708,4479451.661556776,2455
RwLock<BTreeMap>,16777216,1,6686603708,2509078.858662937,398
RwLock<BTreeMap>,16777216,2,4788405750,3503716.4509294145,570
RwLock<BTreeMap>,16777216,3,4089430583,4102579.970361609,731
RwLock<BTreeMap>,16777216,4,3545315791,4732220.481625356,845
RwLock<BTreeMap>,16777216,5,3245489416,5169394.765944909,967
RwLock<BTreeMap>,16777216,6,3346625250,5013174.3911273,1196
RwLock<BTreeMap>,16777216,7,3777351666,4441528.743805343,1576
RwLock<BTreeMap>,16777216,8,4205467333,3989382.0761251412,2005
RwLock<BTreeMap>,16777216,9,7856645833,2135417.117764331,4214
RwLock<BTreeMap>,16777216,10,7553580708,2221094.4250891823,4502
RwLock<BTreeMap>,16777216,11,9475576375,1770574.721371501,6212
RwLock<FxHashMap>,16777216,1,455485458,36833702.822626665,27
RwLock<FxHashMap>,16777216,2,806761041,20795768.694041338,96
RwLock<FxHashMap>,16777216,3,1027143916,16333851.312029773,183
RwLock<FxHashMap>,16777216,4,1110210166,15111747.769746149,264
RwLock<FxHashMap>,16777216,5,1341698958,12504456.308894293,399
RwLock<FxHashMap>,16777216,6,1851300333,9062395.604290102,662
RwLock<FxHashMap>,16777216,7,2140254500,7838888.319122795,892
RwLock<FxHashMap>,16777216,8,2261845791,7417488.8786659995,1078
RwLock<FxHashMap>,16777216,9,2219109625,7560336.727393537,1190
RwLock<FxHashMap>,16777216,10,2202506958,7617327.12764488,1312
RwLock<FxHashMap>,16777216,11,2249876583,7456949.47303694,1475
FxDashMap,16777216,1,456997375,36711843.25730536,27
FxDashMap,16777216,2,414230750,40502101.78746991,49
FxDashMap,16777216,3,373183625,44956999.386026114,66
FxDashMap,16777216,4,312615291,53667291.6616865,74
FxDashMap,16777216,5,298001708,56299059.869817935,88
FxDashMap,16777216,6,338918416,49502225.92802393,121
FxDashMap,16777216,7,358525333,46795064.269558884,149
FxDashMap,16777216,8,362887416,46232564.86799751,173
FxDashMap,16777216,9,370396125,45295333.47574843,198
FxDashMap,16777216,10,376333125,44580758.071721695,224
FxDashMap,16777216,11,381424666,43985660.85393124,250
FxFlurry,16777216,1,826644291,20295568.701871067,49
FxFlurry,16777216,2,491871833,34108917.96278158,58
FxFlurry,16777216,3,373589416,44908167.31274849,66
FxFlurry,16777216,4,263179708,63748136.69145039,62
FxFlurry,16777216,5,270550416,62011421.93032148,80
FxFlurry,16777216,6,243127041,69005964.66355218,86
FxFlurry,16777216,7,235348458,71286704.58507954,98
FxFlurry,16777216,8,215845500,77727893.33110952,102
FxFlurry,16777216,9,225932416,74257675.35721833,121
FxFlurry,16777216,10,223355958,75114253.2763778,133
FxFlurry,16777216,11,256745708,65345653.217307135,168
FxEvmap,16777216,1,766621708,21884608.568897974,45
FxEvmap,16777216,2,505742666,33173424.209378455,60
FxEvmap,16777216,3,488957583,34312211.49504087,87
FxEvmap,16777216,4,429086208,39099872.44334826,102
FxEvmap,16777216,5,550210500,30492358.83357369,163
FxEvmap,16777216,6,744921625,22522122.37763939,266
FxEvmap,16777216,7,827524666,20273976.94511743,345
FxEvmap,16777216,8,806432250,20804247.349978875,384
FxEvmap,16777216,9,744305083,22540778.48343809,399
FxEvmap,16777216,10,746477666,22475174.76296471,444
FxEvmap,16777216,11,747457041,22445726.081534095,490
