name,total_ops,threads,spent,throughput,latency
CHashMap,33554432,1,3088038834,10865935.891271243,92
CHashMap,33554432,2,2472476666,13571182.475216128,147
CHashMap,33554432,3,2560430667,13104995.355845736,228
CHashMap,33554432,4,3254477042,10310237.733119642,387
CHashMap,33554432,5,5365689708,6253517.036210995,799
CHashMap,33554432,6,5648387000,5940533.465571676,1010
CHashMap,33554432,7,8539553708,3929295.7392569166,1781
CHashMap,33554432,8,8637602916,3884692.5850046794,2059
CHashMap,33554432,9,10810780916,3103793.54282717,2899
CHashMap,33554432,10,13737826459,2442484.777351197,4094
CrossbeamSkipMap,33554432,1,64260310042,522164.1784496387,1915
CrossbeamSkipMap,33554432,2,33601736125,998592.2118778616,2002
CrossbeamSkipMap,33554432,3,22988323292,1459629.3767835184,2055
CrossbeamSkipMap,33554432,4,17325260166,1936734.668253293,2065
CrossbeamSkipMap,33554432,5,14353467083,2337723.1303049624,2138
CrossbeamSkipMap,33554432,6,12188814625,2752887.2193345055,2179
CrossbeamSkipMap,33554432,7,10637410500,3154379.724275941,2219
CrossbeamSkipMap,33554432,8,9330764834,3596107.349928309,2224
CrossbeamSkipMap,33554432,9,8715723958,3849873.190304635,2337
CrossbeamSkipMap,33554432,10,8242578375,4070865.992827153,2456
DashMap,33554432,1,1707766167,19648141.91098798,50
DashMap,33554432,2,1082664791,30992447.78155901,64
DashMap,33554432,3,856121416,39193543.54756615,76
DashMap,33554432,4,750257042,44723914.767333835,89
DashMap,33554432,5,672034708,49929611.67118768,100
DashMap,33554432,6,643648250,52131629.348794155,115
DashMap,33554432,7,615081041,54552863.38438775,128
DashMap,33554432,8,564463875,59444782.006643035,134
DashMap,33554432,9,578912583,57961137.80446192,155
DashMap,33554432,10,585102250,57347979.77618442,174
Flurry,33554432,1,6001752292,5590772.555662815,178
Flurry,33554432,2,3394025125,9886323.985300492,202
Flurry,33554432,3,2666114833,12585516.416876707,238
Flurry,33554432,4,2143137375,15656687.43003467,255
Flurry,33554432,5,2297889000,14602285.837131385,342
Flurry,33554432,6,2395580917,14006803.845315486,428
Flurry,33554432,7,2312037750,14512925.664816676,482
Flurry,33554432,8,2207504208,15200166.721494196,526
Flurry,33554432,9,2337650750,14353911.507097457,627
Flurry,33554432,10,2547332250,13172381.419816751,759
Evmap,33554432,1,11779229250,2848610.1499382905,351
Evmap,33554432,2,11041517042,3038933.1350361374,658
Evmap,33554432,3,13812472375,2429285.0033663865,1234
Evmap,33554432,4,15895900792,2110885.8465502686,1894
Evmap,33554432,5,14562873333,2304107.9347963864,2170
Evmap,33554432,6,14205457625,2362080.327560021,2540
Evmap,33554432,7,15684033250,2139400.7182431854,3271
Evmap,33554432,8,15418268625,2176277.558531641,3676
Evmap,33554432,9,16396722958,2046410.8642897275,4397
Evmap,33554432,10,18875767292,1777645.9881565275,5625
Contrie,33554432,1,11513693458,2914306.5274753817,343
Contrie,33554432,2,5859707541,5726298.072936539,349
Contrie,33554432,3,4067633416,8249128.809890769,363
Contrie,33554432,4,3010795167,11144707.673167326,358
Contrie,33554432,5,2543730708,13191031.540591836,379
Contrie,33554432,6,2149893875,15607482.950757278,384
Contrie,33554432,7,1884889208,17801805.993469298,393
Contrie,33554432,8,1649221000,20345624.99507343,393
Contrie,33554432,9,1560152833,21507144.229888406,418
Contrie,33554432,10,1526037333,21987949.622461822,454
SccMap,33554432,1,3298643041,10172192.499442985,98
SccMap,33554432,2,1703298417,19699678.967059124,101
SccMap,33554432,3,1191549583,28160332.124424905,106
SccMap,33554432,4,926531500,36215101.15953964,110
SccMap,33554432,5,753246000,44546445.649893925,112
SccMap,33554432,6,646238500,51922675.606606536,115
SccMap,33554432,7,552514208,60730441.88575871,115
SccMap,33554432,8,489676209,68523712.98275591,116
SccMap,33554432,9,497900375,67391859.26501863,133
SccMap,33554432,10,476545458,70411817.87950228,142
