name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,1640028584,20459662.915240996,48
DashMap,33554432,2,1047855042,32022017.030099858,62
DashMap,33554432,3,860720833,38984105.7791615,76
DashMap,33554432,4,732984167,45777840.109880574,87
DashMap,33554432,5,657415625,51039906.45187358,97
DashMap,33554432,6,651401708,51511120.692363925,116
DashMap,33554432,7,599821333,55940711.26509934,125
DashMap,33554432,8,553787959,60590757.62606099,132
DashMap,33554432,9,573471000,58511122.61997556,153
DashMap,33554432,10,577826125,58070119.27679802,172
DashMapNext,33554432,1,4177441667,8032292.171801139,124
DashMapNext,33554432,2,2163153708,15511811.239259379,128
DashMapNext,33554432,3,1463504750,22927450.01340105,130
DashMapNext,33554432,4,1151879709,29130152.860432062,137
DashMapNext,33554432,5,1009355625,33243419.037764814,150
DashMapNext,33554432,6,904128292,37112467.66294091,161
DashMapNext,33554432,7,810308625,41409446.9252379,169
DashMapNext,33554432,8,741262250,45266613.80638229,176
DashMapNext,33554432,9,687147042,48831516.326312006,184
DashMapNext,33554432,10,648858625,51713009.131996974,193
