name,total_ops,threads,spent,throughput,latency
RwLock<BTreeMap>,16777216,1,7672052523,2186796.2907844656,457
RwLock<BTreeMap>,16777216,2,10963257899,1530312.992229282,1306
RwLock<BTreeMap>,16777216,3,22714758647,738604.193895576,4061
RwLock<FxHashMap>,16777216,1,1510206675,11109218.544541262,90
RwLock<FxHashMap>,16777216,2,2234848912,7507091.826169948,266
RwLock<FxHashMap>,16777216,3,2687280296,6243195.4065129645,480
RwLock<FxHashMap>,16777216,4,3746439003,4478176.73971616,893
RwLock<FxHashMap>,16777216,5,6812472744,2462720.4585554227,2030
RwLock<FxHashMap>,16777216,6,8488411166,1976484.8417334545,3035
RwLock<FxHashMap>,16777216,7,9629732409,1742230.7585951113,4017
RwLock<FxHashMap>,16777216,8,9816197659,1709135.9182868304,4680
FxDashMap,16777216,1,1854676502,9045898.830285607,110
FxDashMap,16777216,2,1299958165,12905966.093147313,154
FxDashMap,16777216,3,1241940735,13508870.050872436,222
FxDashMap,16777216,4,739850665,22676489.72107094,176
FxDashMap,16777216,5,906025487,18517377.53598095,270
FxDashMap,16777216,6,849450978,19750658.289312135,303
FxDashMap,16777216,7,804583683,20852046.0388208,335
FxDashMap,16777216,8,795810851,21081914.09920848,379
FxDashMap,16777216,9,580273121,28912619.580047723,311
FxDashMap,16777216,10,714436960,23483129.988123793,425
FxDashMap,16777216,11,675662619,24830759.506617013,442
FxDashMap,16777216,12,637528931,26316007.296616316,455
FxDashMap,16777216,13,602066813,27866036.85461733,466
FxDashMap,16777216,14,396931105,42267324.955548644,331
FxDashMap,16777216,15,402044813,41729716.333885394,359
FxDashMap,16777216,16,416337063,40297195.448102586,397
FxDashMap,16777216,17,420033273,39942588.072064474,425
FxDashMap,16777216,18,582467045,28803717.12703506,624
FxDashMap,16777216,19,445358977,37671219.99653776,504
FxDashMap,16777216,20,432021389,38834225.40452042,515
FxDashMap,16777216,21,427999718,39199128.63120158,535
FxDashMap,16777216,22,431114150,38915948.36309595,565
FxDashMap,16777216,23,560807310,29916186.36354794,768
FxFlurry,16777216,1,10058850565,1667905.8796615098,599
FxEvmap,16777216,1,7002774444,2395795.571335983,417
FxEvmap,16777216,2,9948878208,1686342.4849757694,1185
FxEvmap,16777216,3,20906770830,802477.6344669006,3738
