name,total_ops,threads,spent,throughput,latency
std:sync::RwLock<BTreeMap>,1048576,1,188743459,5555562.060563911,179
std:sync::RwLock<BTreeMap>,1048576,2,1718627292,610124.1408657905,3278
parking_lot::RwLock<BTreeMap>,1048576,1,177988250,5891265.294197791,169
parking_lot::RwLock<BTreeMap>,1048576,2,335879708,3121879.5748149217,640
parking_lot::RwLock<BTreeMap>,1048576,4,371417709,2823171.794428359,1416
parking_lot::RwLock<BTreeMap>,1048576,6,412580125,2541508.7554205377,2360
parking_lot::RwLock<BTreeMap>,1048576,8,364493750,2876801.0425418816,2780
parking_lot::RwLock<BTreeMap>,1048576,10,313706875,3342534.3324082396,2991
CHashMap,1048576,1,96153542,10905224.89540739,91
CHashMap,1048576,2,87125834,12035190.389110077,166
CHashMap,1048576,4,170692709,6143062.619036646,651
CHashMap,1048576,6,227841833,4602210.165681032,1303
CHashMap,1048576,8,291912625,3592088.5573208765,2227
CHashMap,1048576,10,327343750,3203287.0644391407,3121
CrossbeamSkipMap,1048576,1,818725708,1280741.5105621675,780
CrossbeamSkipMap,1048576,2,478546291,2191169.4223119575,912
CrossbeamSkipMap,1048576,4,261469292,4010321.7933523143,997
CrossbeamSkipMap,1048576,6,168445833,6225004.093749235,963
CrossbeamSkipMap,1048576,8,138340917,7579651.940575181,1055
CrossbeamSkipMap,1048576,10,156677000,6692596.871270193,1494
std::sync::RwLock<StdHashMap>,1048576,1,87034042,12047883.516658917,83
std::sync::RwLock<StdHashMap>,1048576,2,1514693542,692269.4069293127,2889
parking_lot::RwLock<StdHashMap>,1048576,1,84679333,12382903.39391313,80
parking_lot::RwLock<StdHashMap>,1048576,2,108726375,9644173.274423985,207
parking_lot::RwLock<StdHashMap>,1048576,4,120938000,8670360.019183382,461
parking_lot::RwLock<StdHashMap>,1048576,6,130080667,8060967.276559244,744
parking_lot::RwLock<StdHashMap>,1048576,8,156444500,6702543.074381012,1193
parking_lot::RwLock<StdHashMap>,1048576,10,167025458,6277941.1746920645,1592
DashMap,1048576,1,99641834,10523451.425030977,95
DashMap,1048576,2,60300209,17389259.795102865,115
DashMap,1048576,4,48371000,21677782.142192636,184
DashMap,1048576,6,37728917,27792369.444370747,215
DashMap,1048576,8,33662250,31149908.28004664,256
DashMap,1048576,10,38957166,26916126.29111676,371
Flurry,1048576,1,188546708,5561359.363537654,179
Flurry,1048576,2,91647458,11441408.445829453,174
Flurry,1048576,4,71704333,14623607.195397802,273
Flurry,1048576,6,62125500,16878351.07966938,355
Flurry,1048576,8,56670666,18502976.47816597,432
Flurry,1048576,10,57892291,18112532.46136001,552
Evmap,1048576,1,324015292,3236192.938696239,309
Evmap,1048576,2,377037209,2781094.212905655,719
Evmap,1048576,4,482406791,2173634.4088904005,1840
Evmap,1048576,6,536865000,1953146.5079675522,3071
Evmap,1048576,8,625953042,1675167.1924936504,4775
Evmap,1048576,10,608523875,1723146.8527015476,5803
Contrie,1048576,1,277062417,3784620.1276732525,264
Contrie,1048576,2,138366834,7578232.222903937,263
Contrie,1048576,4,84519792,12406277.573423276,322
Contrie,1048576,6,56604250,18524686.750553183,323
Contrie,1048576,8,47432292,22106795.935562212,361
Contrie,1048576,10,48332834,21694899.99282889,460
