name,total_ops,threads,spent,throughput,latency
CHashMap,2097152,1,193825875,10819773.15980129,92
CHashMap,2097152,2,163068792,12860535.570779234,155
CHashMap,2097152,4,228424833,9180928.239969427,435
CHashMap,2097152,6,349148458,6006476.477120801,998
CHashMap,2097152,8,599667500,3497191.3602121174,2287
CHashMap,2097152,10,860108000,2438242.6392964604,4101
DashMap,2097152,1,85770125,24450844.626844138,40
DashMap,2097152,2,74031166,28327961.2264921,70
DashMap,2097152,4,59957417,34977357.346798316,114
DashMap,2097152,6,73659666,28470832.32769478,210
DashMap,2097152,8,71565917,29303781.57524342,273
DashMap,2097152,10,66345000,31609797.271836612,316
Flurry,2097152,1,331615709,6324042.990375948,158
Flurry,2097152,2,186709042,11232193.028980354,178
Flurry,2097152,4,139184334,15067442.863217639,265
Flurry,2097152,6,142615000,14704988.956280896,408
Flurry,2097152,8,130738709,16040788.654261531,498
Flurry,2097152,10,163913541,12794257.18708621,781
Evmap,2097152,1,482448958,4346888.8578260755,230
Evmap,2097152,2,606802375,3456070.850085252,578
Evmap,2097152,4,684497416,3063783.662260019,1305
Evmap,2097152,6,921280458,2276344.8218066944,2635
Evmap,2097152,8,889381416,2357989.4545491603,3392
Evmap,2097152,10,928693417,2258174.723338219,4428
Contrie,2097152,1,390636375,5368552.7877428215,186
Contrie,2097152,2,222663583,9418477.740026306,212
Contrie,2097152,4,109890334,19084044.280000094,209
Contrie,2097152,6,80547458,26036228.232056685,230
Contrie,2097152,8,64025208,32755098.58554462,244
Contrie,2097152,10,58495750,35851356.722496934,278
