name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,1770903083,18947638.81892231,52
DashMap,33554432,2,1130313667,29685947.34332271,67
DashMap,33554432,3,906656125,37008995.00348051,81
DashMap,33554432,4,755959708,44386534.95008758,90
DashMap,33554432,5,692905667,48425685.627997614,103
DashMap,33554432,6,667416458,50275104.24383331,119
DashMap,33554432,7,622534000,53899758.085502155,129
DashMap,33554432,8,578022708,58050369.88270018,137
DashMap,33554432,9,603379083,55610863.79257201,161
DashMap,33554432,10,611675333,54856604.78644805,182
DashMapNext,33554432,1,3440715958,9752165.656680457,102
DashMapNext,33554432,2,1751437375,19158225.39758237,104
DashMapNext,33554432,3,1205375041,27837337.640708625,107
DashMapNext,33554432,4,949484291,35339638.91562688,113
DashMapNext,33554432,5,799788208,41954146.94086113,119
DashMapNext,33554432,6,683478709,49093602.41680916,122
DashMapNext,33554432,7,603829667,55569366.38557046,125
DashMapNext,33554432,8,563557209,59540418.371260695,134
DashMapNext,33554432,9,546415083,61408319.50643647,146
DashMapNext,33554432,10,527511208,63608946.10603232,157
