name,total_ops,threads,spent,throughput,latency
std:sync::RwLock<BTreeMap>,1048576,1,137563792,7622470.889723657,131
std:sync::RwLock<BTreeMap>,1048576,2,1915178667,547508.1871304073,3652
parking_lot::RwLock<BTreeMap>,1048576,1,129104667,8121906.23596899,123
parking_lot::RwLock<BTreeMap>,1048576,2,194374208,5394625.196363501,370
parking_lot::RwLock<BTreeMap>,1048576,4,233546541,4489794.605864019,890
parking_lot::RwLock<BTreeMap>,1048576,6,238371291,4398918.99566043,1363
parking_lot::RwLock<BTreeMap>,1048576,8,272806250,3843665.6051685037,2081
parking_lot::RwLock<BTreeMap>,1048576,10,293690958,3570338.0422083,2800
CHashMap,1048576,1,118443625,8852954.306320835,112
CHashMap,1048576,2,95167125,11018258.66863163,181
CHashMap,1048576,4,143786292,7292600.604792005,548
CHashMap,1048576,6,192727083,5440729.8843411645,1102
CHashMap,1048576,8,258149292,4061897.6402228526,1969
CHashMap,1048576,10,379834083,2760615.8765905164,3622
CrossbeamSkipMap,1048576,1,549559250,1908030.844717835,524
CrossbeamSkipMap,1048576,2,333716291,3142118.105345957,636
CrossbeamSkipMap,1048576,4,178005958,5890679.232208621,679
CrossbeamSkipMap,1048576,6,159990666,6553982.342944931,915
CrossbeamSkipMap,1048576,8,141486542,7411135.965143597,1079
CrossbeamSkipMap,1048576,10,160019458,6552803.097233337,1526
std::sync::RwLock<StdHashMap>,1048576,1,126535416,8286818.292832735,120
std::sync::RwLock<StdHashMap>,1048576,2,1459204750,718594.1520543981,2783
parking_lot::RwLock<StdHashMap>,1048576,1,28829791,36371266.09762797,27
parking_lot::RwLock<StdHashMap>,1048576,2,61857750,16951408.67554995,117
parking_lot::RwLock<StdHashMap>,1048576,4,77226750,13577885.900934586,294
parking_lot::RwLock<StdHashMap>,1048576,6,104816125,10003956.92933697,599
parking_lot::RwLock<StdHashMap>,1048576,8,122306542,8573343.525647221,933
parking_lot::RwLock<StdHashMap>,1048576,10,135119500,7760360.273683665,1288
DashMap,1048576,1,39958958,26241324.911425367,38
DashMap,1048576,2,65494958,16010026.298512932,124
DashMap,1048576,4,41641709,25180906.960374754,158
DashMap,1048576,6,54254792,19326882.68346877,310
DashMap,1048576,8,46268042,22663072.71010085,352
DashMap,1048576,10,46543750,22528825.03021351,443
Flurry,1048576,1,181742375,5769573.551572658,173
Flurry,1048576,2,102115208,10268558.626448669,194
Flurry,1048576,4,85018958,12333437.443446437,324
Flurry,1048576,6,85792791,12222192.42173856,490
Flurry,1048576,8,78003250,13442721.937867975,595
Flurry,1048576,10,85744583,12229064.079768164,817
Evmap,1048576,1,544962958,1924123.4373951703,519
Evmap,1048576,2,294513750,3560363.48048266,561
Evmap,1048576,4,337353375,3108242.210412153,1286
Evmap,1048576,6,375397500,2793241.8303265204,2148
Evmap,1048576,8,480296375,2183185.330099566,3664
Evmap,1048576,10,450948333,2325268.6023345385,4300
Contrie,1048576,1,154944375,6767435.087591918,147
Contrie,1048576,2,104942667,9991893.954820111,200
Contrie,1048576,4,48404417,21662816.432640847,184
Contrie,1048576,6,37098875,28264361.116071578,212
Contrie,1048576,8,30760000,34088946.6840052,234
Contrie,1048576,10,21834416,48024000.27552833,208
