name,total_ops,threads,spent,throughput,latency
CHashMap,33554432,1,3327776417,10083138.947853178,99
CHashMap,33554432,2,2624190292,12786584.914322976,156
CHashMap,33554432,4,3259136500,10295497.595758878,388
CHashMap,33554432,6,6542357583,5128798.2312659845,1169
CHashMap,33554432,8,8957425375,3745990.6831766376,2135
CHashMap,33554432,10,13061844667,2568889.223187085,3892
DashMap,33554432,1,5223033667,6424318.535797023,155
DashMap,33554432,2,2873611333,11676746.821905717,171
DashMap,33554432,4,1548969166,21662427.333301738,184
DashMap,33554432,6,1156396125,29016382.25396163,206
DashMap,33554432,8,948348792,35381952.59281777,226
DashMap,33554432,10,961516500,34897406.33676073,286
Flurry,33554432,1,7470117667,4491821.079101617,222
Flurry,33554432,2,3991528458,8406411.817695728,237
Flurry,33554432,4,2214782333,15150216.56983752,264
Flurry,33554432,6,2145345791,15640570.45757618,383
Flurry,33554432,8,2000142292,16776022.45310655,476
Flurry,33554432,10,2238369250,14990570.478932375,667
Evmap,33554432,1,19552086125,1716156.106590391,582
Evmap,33554432,2,18429100875,1820730.8228215447,1098
Evmap,33554432,4,23480746708,1429018.9497494919,2799
Evmap,33554432,6,20288379125,1653874.456567757,3627
Evmap,33554432,8,21827579375,1537249.3405490136,5204
Evmap,33554432,10,27240050625,1231805.0528586344,8118
Contrie,33554432,1,13037177416,2573749.7411686676,388
Contrie,33554432,2,6685017459,5019348.446850481,398
Contrie,33554432,4,3407041875,9848552.859362787,406
Contrie,33554432,6,2281769917,14705440.609943846,408
Contrie,33554432,8,1739614667,19288427.85504061,414
Contrie,33554432,10,1588401209,21124657.806779593,473
