name,total_ops,threads,spent,throughput,latency
CHashMap,1048576,1,121328375,8642463.067687176,115
CHashMap,1048576,2,90386333,11601045.923613252,172
CHashMap,1048576,4,83576958,12546233.137607137,318
CHashMap,1048576,6,170565291,6147651.693098568,975
CHashMap,1048576,8,211537583,4956925.313834185,1613
CHashMap,1048576,10,318223875,3295089.0312676886,3034
DashMap,1048576,1,19361500,54157787.36151641,18
DashMap,1048576,2,17644125,59429186.76896701,33
DashMap,1048576,4,18709208,56045985.48479444,71
DashMap,1048576,6,17860208,58710178.51527821,102
DashMap,1048576,8,17343875,60458000.30270051,132
DashMap,1048576,10,16160667,64884450.62323232,154
Flurry,1048576,1,89310208,11740830.342708416,85
Flurry,1048576,2,46521167,22539761.30908324,88
Flurry,1048576,4,24150166,43418997.61682797,92
Flurry,1048576,6,17389333,60299955.150666215,99
Flurry,1048576,8,14157500,74065053.85837895,108
Flurry,1048576,10,16364667,64075608.74902007,156
Evmap,1048576,1,31210916,33596450.6777052,29
Evmap,1048576,2,22821917,45946008.83002072,43
Evmap,1048576,4,19753167,53083943.45068819,75
Evmap,1048576,6,36102250,29044616.332777042,206
Evmap,1048576,8,31751250,33024715.56237943,242
Evmap,1048576,10,25299959,41445758.86466852,241
Contrie,1048576,1,64409833,16279750.329425633,61
Contrie,1048576,2,37717209,27800996.621992894,71
Contrie,1048576,4,18814042,55733690.825182594,71
Contrie,1048576,6,12930416,81093755.99362001,73
Contrie,1048576,8,11647458,90026167.08298069,88
Contrie,1048576,10,11150500,94038473.61104883,106
