name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,1096881459,30590755.021596186,32
DashMap,33554432,2,748997792,44799106.69750012,44
DashMap,33554432,3,605955458,55374419.946226485,54
DashMap,33554432,4,486534292,68966222.01503527,57
DashMap,33554432,5,543146292,61777890.218939394,80
DashMap,33554432,6,536969166,62488563.821930885,96
DashMap,33554432,7,500470917,67045718.06317369,104
DashMap,33554432,8,454744791,73787391.66250286,108
DashMap,33554432,9,446779667,75102862.72718853,119
DashMap,33554432,10,447118625,75045927.6886531,133
DashMapNext,33554432,1,1971698291,17018035.747742098,58
DashMapNext,33554432,2,1006682042,33331708.126367867,60
DashMapNext,33554432,3,694846125,48290449.91795845,62
DashMapNext,33554432,4,527977875,63552723.68183988,62
DashMapNext,33554432,5,408036875,82233822.61713478,60
DashMapNext,33554432,6,354621875,94620310.71828268,63
DashMapNext,33554432,7,290740125,115410392.70035397,60
DashMapNext,33554432,8,260072250,129019655.11506899,62
DashMapNext,33554432,9,255402917,131378421.17911284,68
DashMapNext,33554432,10,260254334,128929387.97322777,77
