name,total_ops,threads,spent,throughput,latency
Contrie,16777216,1,1954767167,8582718.332510237,116
Contrie,16777216,2,939228792,17862757.34187672,111
Contrie,16777216,3,678320042,24733481.19057936,121
Contrie,16777216,4,512636542,32727311.897324715,122
Contrie,16777216,5,402505750,41681928.76747724,119
Contrie,16777216,6,346141000,48469311.6388986,123
Contrie,16777216,7,305849584,54854467.286115386,127
Contrie,16777216,8,264264708,63486403.943125084,126
Contrie,16777216,9,257045000,65269567.58544223,137
Contrie,16777216,10,256156917,65495853.85586133,152
