name,total_ops,threads,spent,throughput,latency
CHashMap,2097152,1,222721916,9416010.950624187,106
CHashMap,2097152,2,144076416,14555831.261099664,137
CHashMap,2097152,4,159849666,13119526.943522047,304
CHashMap,2097152,6,335193625,6256539.037697988,958
CHashMap,2097152,8,421020833,4981112.181686268,1606
CHashMap,2097152,10,639635959,3278664.950730201,3050
DashMap,2097152,1,111739208,18768273.35307406,53
DashMap,2097152,2,59489208,35252646.16062799,56
DashMap,2097152,4,50651250,41403756.07709583,96
DashMap,2097152,6,41624958,50382080.86600352,119
DashMap,2097152,8,40948291,51214640.43517714,156
DashMap,2097152,10,38168459,54944633.73540965,182
Flurry,2097152,1,229605458,9133720.157471169,109
Flurry,2097152,2,123954042,16918786.72258223,118
Flurry,2097152,4,62268125,33679382.5091088,118
Flurry,2097152,6,43310375,48421469.45160369,123
Flurry,2097152,8,31713875,66127270.79235823,120
Flurry,2097152,10,34240292,61248075.80496101,163
Evmap,2097152,1,105297667,19916414.67232128,50
Evmap,2097152,2,64577084,32475173.391229615,61
Evmap,2097152,4,54268166,38644239.42390093,103
Evmap,2097152,6,70238208,29857709.35386051,200
Evmap,2097152,8,76655166,27358260.498711854,292
Evmap,2097152,10,94605250,22167395.572655853,451
Contrie,2097152,1,235440209,8907365.521409301,112
Contrie,2097152,2,138330542,15160440.8518836,131
Contrie,2097152,4,71449750,29351425.302397836,136
Contrie,2097152,6,51218416,40945272.49729863,146
Contrie,2097152,8,38147833,54974341.5307496,145
Contrie,2097152,10,40314958,52019203.393440224,192
